starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:37 2021	1627975957	0	751	751	751
Tue Aug 03 16:32:34 2021	1627975954	0	752	752	751
Tue Aug 03 16:32:45 2021	1627975965	0	752	752	752
Tue Aug 03 16:32:47 2021	1627975967	0	752	752	752
Tue Aug 03 16:32:39 2021	1627975959	0	752	752	752
Tue Aug 03 16:32:33 2021	1627975953	0	752	752	752
Tue Aug 03 16:32:38 2021	1627975958	0	752	752	752
Tue Aug 03 16:32:34 2021	1627975954	0	752	752	752
Tue Aug 03 16:32:35 2021	1627975955	0	752	752	752
Tue Aug 03 16:32:36 2021	1627975956	0	752	753	752
Tue Aug 03 16:32:32 2021	1627975952	0	752	753	751
Tue Aug 03 16:32:40 2021	1627975960	0	753	753	752
Tue Aug 03 16:32:40 2021	1627975960	0	752	753	752
Tue Aug 03 16:32:46 2021	1627975966	0	753	753	752
Tue Aug 03 16:32:38 2021	1627975958	0	753	753	752
Tue Aug 03 16:32:32 2021	1627975952	1	752	753	751
Tue Aug 03 16:32:45 2021	1627975965	0	753	753	752
Tue Aug 03 16:32:35 2021	1627975955	0	753	753	749
Tue Aug 03 16:32:37 2021	1627975957	0	753	753	753
Tue Aug 03 16:32:34 2021	1627975954	0	754	754	753
Tue Aug 03 16:32:35 2021	1627975955	0	754	754	753
Tue Aug 03 16:32:46 2021	1627975966	0	754	754	753
Tue Aug 03 16:32:32 2021	1627975952	3	752	755	751
Tue Aug 03 16:32:48 2021	1627975968	0	755	755	754
Tue Aug 03 16:32:38 2021	1627975958	0	754	755	754
Tue Aug 03 16:32:37 2021	1627975957	0	755	755	754
Tue Aug 03 16:32:34 2021	1627975954	0	755	755	754
Tue Aug 03 16:32:39 2021	1627975959	0	755	755	755
Tue Aug 03 16:32:38 2021	1627975958	0	755	755	754
Tue Aug 03 16:32:37 2021	1627975957	0	755	755	755
Tue Aug 03 16:32:47 2021	1627975967	0	755	755	755
Tue Aug 03 16:32:32 2021	1627975952	1	755	756	754
Tue Aug 03 16:32:35 2021	1627975955	0	756	756	755
Tue Aug 03 16:32:34 2021	1627975954	0	756	756	755
Tue Aug 03 16:32:34 2021	1627975954	0	756	756	755
Tue Aug 03 16:32:47 2021	1627975967	0	756	756	755
Tue Aug 03 16:32:35 2021	1627975955	0	756	756	755
Tue Aug 03 16:32:34 2021	1627975954	0	756	756	756
Tue Aug 03 16:32:37 2021	1627975957	1	756	756	755
Tue Aug 03 16:32:33 2021	1627975953	0	756	756	756
Tue Aug 03 16:32:36 2021	1627975956	0	756	757	756
Tue Aug 03 16:32:40 2021	1627975960	0	757	757	756
Tue Aug 03 16:32:44 2021	1627975964	0	757	757	756
Tue Aug 03 16:32:40 2021	1627975960	0	757	757	756
Tue Aug 03 16:32:41 2021	1627975961	0	757	757	756
Tue Aug 03 16:32:35 2021	1627975955	0	757	757	753
Tue Aug 03 16:32:33 2021	1627975953	0	757	757	756
Tue Aug 03 16:32:47 2021	1627975967	0	757	757	757
Tue Aug 03 16:32:37 2021	1627975957	0	757	757	757
Tue Aug 03 16:32:33 2021	1627975953	0	757	758	757
Tue Aug 03 16:32:41 2021	1627975961	0	758	758	757
Tue Aug 03 16:32:39 2021	1627975959	0	758	758	757
Tue Aug 03 16:32:33 2021	1627975953	0	758	758	757
Tue Aug 03 16:32:39 2021	1627975959	0	758	758	757
Tue Aug 03 16:32:47 2021	1627975967	0	758	758	757
Tue Aug 03 16:32:34 2021	1627975954	0	758	758	757
Tue Aug 03 16:32:33 2021	1627975953	0	758	758	757
Tue Aug 03 16:32:33 2021	1627975953	0	758	758	757
Tue Aug 03 16:32:34 2021	1627975954	0	758	758	757
Tue Aug 03 16:32:34 2021	1627975954	0	758	758	758
Tue Aug 03 16:32:32 2021	1627975952	1	757	758	756
Tue Aug 03 16:32:35 2021	1627975955	0	758	758	758
Tue Aug 03 16:32:40 2021	1627975960	0	758	759	758
Tue Aug 03 16:32:33 2021	1627975953	0	759	759	758
Tue Aug 03 16:32:42 2021	1627975962	0	759	759	758
Tue Aug 03 16:32:44 2021	1627975964	0	759	759	758
Tue Aug 03 16:32:35 2021	1627975955	0	758	759	758
Tue Aug 03 16:32:34 2021	1627975954	0	759	759	758
Tue Aug 03 16:32:34 2021	1627975954	0	759	759	758
Tue Aug 03 16:32:38 2021	1627975958	0	759	759	758
Tue Aug 03 16:32:48 2021	1627975968	0	759	759	758
Tue Aug 03 16:32:41 2021	1627975961	0	759	759	758
Tue Aug 03 16:32:47 2021	1627975967	0	759	759	758
Tue Aug 03 16:32:41 2021	1627975961	0	759	759	758
Tue Aug 03 16:32:43 2021	1627975963	0	759	759	758
Tue Aug 03 16:32:40 2021	1627975960	0	759	759	759
Tue Aug 03 16:32:46 2021	1627975966	0	759	759	759
Tue Aug 03 16:32:33 2021	1627975953	0	760	760	759
Tue Aug 03 16:32:34 2021	1627975954	0	760	760	759
Tue Aug 03 16:32:37 2021	1627975957	0	760	760	759
Tue Aug 03 16:32:33 2021	1627975953	0	760	760	759
Tue Aug 03 16:32:45 2021	1627975965	0	760	760	760
Tue Aug 03 16:32:33 2021	1627975953	0	760	761	760
Tue Aug 03 16:32:45 2021	1627975965	0	760	761	760
Tue Aug 03 16:32:37 2021	1627975957	0	760	761	760
Tue Aug 03 16:32:34 2021	1627975954	0	761	761	760
Tue Aug 03 16:32:38 2021	1627975958	0	761	761	759
Tue Aug 03 16:32:34 2021	1627975954	0	761	761	760
Tue Aug 03 16:32:34 2021	1627975954	0	761	761	760
Tue Aug 03 16:32:34 2021	1627975954	0	761	761	760
Tue Aug 03 16:32:40 2021	1627975960	0	761	761	760
Tue Aug 03 16:32:40 2021	1627975960	0	761	761	761
Tue Aug 03 16:32:37 2021	1627975957	0	761	761	761
Tue Aug 03 16:32:48 2021	1627975968	1	761	761	757
Tue Aug 03 16:32:46 2021	1627975966	0	761	762	760
Tue Aug 03 16:32:36 2021	1627975956	0	762	762	761
Tue Aug 03 16:32:35 2021	1627975955	0	762	762	761
Tue Aug 03 16:32:32 2021	1627975952	2	760	762	760
Tue Aug 03 16:32:36 2021	1627975956	0	762	762	761
Tue Aug 03 16:32:43 2021	1627975963	0	762	762	762
Tue Aug 03 16:32:36 2021	1627975956	0	763	763	762
Tue Aug 03 16:32:35 2021	1627975955	0	763	763	762
Tue Aug 03 16:32:47 2021	1627975967	1	762	763	761
Tue Aug 03 16:32:34 2021	1627975954	0	763	763	762
Tue Aug 03 16:32:33 2021	1627975953	0	763	763	762
Tue Aug 03 16:32:41 2021	1627975961	0	763	763	762
Tue Aug 03 16:32:46 2021	1627975966	0	763	763	762
Tue Aug 03 16:32:33 2021	1627975953	0	763	763	763
Tue Aug 03 16:32:47 2021	1627975967	0	763	763	762
Tue Aug 03 16:32:40 2021	1627975960	0	763	763	763
Tue Aug 03 16:32:43 2021	1627975963	0	763	763	763
Tue Aug 03 16:32:34 2021	1627975954	0	763	764	763
Tue Aug 03 16:32:36 2021	1627975956	0	764	764	763
Tue Aug 03 16:32:40 2021	1627975960	0	764	764	763
Tue Aug 03 16:32:46 2021	1627975966	0	764	764	763
Tue Aug 03 16:32:35 2021	1627975955	0	764	764	763
Tue Aug 03 16:32:33 2021	1627975953	0	764	764	763
Tue Aug 03 16:32:36 2021	1627975956	0	764	764	763
Tue Aug 03 16:32:42 2021	1627975962	0	764	764	763
Tue Aug 03 16:32:42 2021	1627975962	0	764	764	764
Tue Aug 03 16:32:34 2021	1627975954	0	764	764	763
Tue Aug 03 16:32:37 2021	1627975957	0	764	764	764
Tue Aug 03 16:32:40 2021	1627975960	0	764	764	763
Tue Aug 03 16:32:33 2021	1627975953	0	764	764	763
Tue Aug 03 16:32:37 2021	1627975957	0	765	765	764
Tue Aug 03 16:32:35 2021	1627975955	0	765	765	764
Tue Aug 03 16:32:41 2021	1627975961	0	765	765	764
Tue Aug 03 16:32:42 2021	1627975962	0	765	765	764
Tue Aug 03 16:32:35 2021	1627975955	0	765	765	762
Tue Aug 03 16:32:45 2021	1627975965	0	765	765	765
Tue Aug 03 16:32:39 2021	1627975959	0	765	765	765
Tue Aug 03 16:32:33 2021	1627975953	0	765	765	765
Tue Aug 03 16:32:42 2021	1627975962	0	765	766	765
Tue Aug 03 16:32:41 2021	1627975961	0	765	766	765
Tue Aug 03 16:32:36 2021	1627975956	0	766	766	765
Tue Aug 03 16:32:47 2021	1627975967	0	766	766	765
Tue Aug 03 16:32:47 2021	1627975967	0	766	766	765
Tue Aug 03 16:32:47 2021	1627975967	0	766	766	765
Tue Aug 03 16:32:46 2021	1627975966	0	766	766	765
Tue Aug 03 16:32:32 2021	1627975952	1	765	766	764
Tue Aug 03 16:32:40 2021	1627975960	0	766	766	765
Tue Aug 03 16:32:37 2021	1627975957	2	765	766	764
Tue Aug 03 16:32:35 2021	1627975955	0	766	766	765
Tue Aug 03 16:32:46 2021	1627975966	0	767	767	766
Tue Aug 03 16:32:33 2021	1627975953	0	766	767	766
Tue Aug 03 16:32:47 2021	1627975967	0	767	767	766
Tue Aug 03 16:32:32 2021	1627975952	2	765	767	764
Tue Aug 03 16:32:47 2021	1627975967	0	767	767	766
Tue Aug 03 16:32:34 2021	1627975954	0	767	767	766
Tue Aug 03 16:32:32 2021	1627975952	0	767	767	766
Tue Aug 03 16:32:44 2021	1627975964	0	767	767	767
Tue Aug 03 16:32:38 2021	1627975958	0	767	767	767
Tue Aug 03 16:32:47 2021	1627975967	0	767	767	767
Tue Aug 03 16:32:41 2021	1627975961	0	767	768	767
Tue Aug 03 16:32:36 2021	1627975956	0	767	768	767
Tue Aug 03 16:32:47 2021	1627975967	0	767	768	767
Tue Aug 03 16:32:34 2021	1627975954	0	768	768	767
Tue Aug 03 16:32:32 2021	1627975952	2	765	768	765
Tue Aug 03 16:32:47 2021	1627975967	0	768	768	767
Tue Aug 03 16:32:35 2021	1627975955	0	768	768	768
Tue Aug 03 16:32:36 2021	1627975956	0	768	768	768
Tue Aug 03 16:32:46 2021	1627975966	0	769	769	768
Tue Aug 03 16:32:46 2021	1627975966	0	769	769	768
