starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:09 2021	1627975929	0	764	764	763
Tue Aug 03 16:32:12 2021	1627975932	0	764	764	764
Tue Aug 03 16:32:09 2021	1627975929	0	764	764	764
Tue Aug 03 16:32:10 2021	1627975930	0	764	765	764
Tue Aug 03 16:32:13 2021	1627975933	0	765	765	764
Tue Aug 03 16:32:03 2021	1627975923	0	765	765	764
Tue Aug 03 16:32:04 2021	1627975924	0	764	765	764
Tue Aug 03 16:32:08 2021	1627975928	0	765	765	764
Tue Aug 03 16:32:05 2021	1627975925	0	765	765	764
Tue Aug 03 16:32:08 2021	1627975928	0	765	765	763
Tue Aug 03 16:32:08 2021	1627975928	0	765	765	764
Tue Aug 03 16:32:04 2021	1627975924	0	765	765	764
Tue Aug 03 16:32:05 2021	1627975925	0	765	765	765
Tue Aug 03 16:32:10 2021	1627975930	0	765	765	764
Tue Aug 03 16:32:02 2021	1627975922	0	765	765	764
Tue Aug 03 16:32:02 2021	1627975922	0	765	766	765
Tue Aug 03 16:32:04 2021	1627975924	0	765	766	765
Tue Aug 03 16:32:09 2021	1627975929	0	765	766	765
Tue Aug 03 16:32:09 2021	1627975929	0	765	766	765
Tue Aug 03 16:32:02 2021	1627975922	0	766	766	765
Tue Aug 03 16:32:12 2021	1627975932	0	766	766	765
Tue Aug 03 16:32:11 2021	1627975931	0	766	766	765
Tue Aug 03 16:32:12 2021	1627975932	0	766	766	765
Tue Aug 03 16:32:04 2021	1627975924	0	766	766	765
Tue Aug 03 16:32:11 2021	1627975931	0	766	766	763
Tue Aug 03 16:32:09 2021	1627975929	0	766	766	765
Tue Aug 03 16:32:09 2021	1627975929	0	766	766	765
Tue Aug 03 16:32:09 2021	1627975929	0	766	766	766
Tue Aug 03 16:32:03 2021	1627975923	0	766	766	766
Tue Aug 03 16:32:05 2021	1627975925	0	766	766	765
Tue Aug 03 16:32:11 2021	1627975931	0	767	767	767
Tue Aug 03 16:32:02 2021	1627975922	0	767	767	766
Tue Aug 03 16:32:02 2021	1627975922	0	767	767	764
Tue Aug 03 16:32:05 2021	1627975925	0	767	767	766
Tue Aug 03 16:32:03 2021	1627975923	0	767	767	766
Tue Aug 03 16:32:09 2021	1627975929	0	767	767	767
Tue Aug 03 16:32:09 2021	1627975929	0	767	767	766
Tue Aug 03 16:32:03 2021	1627975923	0	767	767	767
Tue Aug 03 16:32:11 2021	1627975931	0	767	767	767
Tue Aug 03 16:32:04 2021	1627975924	0	767	768	767
Tue Aug 03 16:32:04 2021	1627975924	0	767	768	767
Tue Aug 03 16:32:10 2021	1627975930	0	767	768	767
Tue Aug 03 16:32:10 2021	1627975930	0	767	768	767
Tue Aug 03 16:32:05 2021	1627975925	0	768	768	767
Tue Aug 03 16:31:59 2021	1627975919	3	765	768	765
Tue Aug 03 16:32:06 2021	1627975926	0	768	768	768
Tue Aug 03 16:32:11 2021	1627975931	0	768	768	767
